Mosque,Address,Postal Code,Telephone Number
Abdul Aleem Siddique,90 Lorong K Telok Kurau,Singapore 425723,6346 0153
Abdul Gafoor,41 Dunlop Street,Singapore 209369,6295 4209
Abdul Hamid Kampung Pasiran,10 Gentle Road,Singapore 309194,6251 2729
Ahmad,2 Lorong Sarhad,Singapore 119173,6479 6442
Ahmad Ibrahim,15 Jalan Ulu Seletar,Singapore 769227,6454 0848
Al-Abdul Razak,30 Jalan Ismail,Singapore 419285,6846 8404
Al-Abrar,192 Telok Ayer Street,Singapore 068635,6220 6306
Al-Amin,50 Telok Blangah Way,Singapore 098801,6272 5309
Al-Ansar,155 Bedok North Avenue 1,Singapore 469751,6449 2420
Al-Falah,22 Bideford Road #01-01,Singapore 229923,6235 3172
Al-Firdaus,11 Jalan Ibadat,Singapore 698955,6764 6334
Al-Huda,34 Jalan Haji Alias,Singapore 268534,6468 4844
Al-Iman,10 Bukit Panjang Ring Road,Singapore 679943,6769 0770
Al-Islah,"30, Punggol Field",Singapore 828812,6312 5194
Al-Istighfar,2 Pasir Ris Walk,Singapore 518239,6426 7130
Al-Istiqamah,2 Serangoon North Avenue 2,Singapore 555876,6281 4287
Alkaff Kampung Melayu,200 Bedok Reservoir Road,Singapore 479221,6242 7244
Alkaff Upper Serangoon,66 Pheng Geck Avenue,Singapore 348261,6280 0300
Al-Khair,1 Teck Whye Crescent,Singapore 688847,6760 1139
Al-Mawaddah,151 Compassvale Bow,Singapore 544997,6489 0224
Al-Mukminin,271 Jurong East Street 21,Singapore 609603,6567 7777
Al-Muttaqin,5140 Ang Mo Kio Avenue 6,Singapore 569840,6454 7472
Al-Taqua,11A Jalan Bilal,Singapore 468862,6442 7704
Angullia,265 Serangoon Road,Singapore 218099,6295 1478
An-Nahdhah,9A Bishan Street 14,Singapore 579786,6354 3138
An-Nur,6 Admiralty Road,Singapore 739983,6363 1383
Ar-Raudhah,30 Bukit Batok East Avenue 2,Singapore 659919,6899 5840
Assyafaah,1 Admiralty Lane,Singapore 757620,6756 3008
Assyakirin,550 Yung An Road,Singapore 618617,6268 1846
Ba'alwie,2 Lewis Road,Singapore 258590,6732 6795
Bencoolen,59 Bencoolen Street #01-01,Singapore 189633,6333 3016
Burhani,39 Hill Street,Singapore 179364,6334 3712
Darul Aman,1 Jalan Eunos,Singapore 419493,6744 5544
Darul Ghufran,503 Tampines Avenue 5,Singapore 529651,6786 5545
Darul Makmur,950 Yishun Avenue 2,Singapore 769099,6752 1402
Darussalam,3002 Commonwealth Avenue West,Singapore 129579,6777 0028
En-Naeem,120 Tampines Road,Singapore 535136,6911 8140
Haji Mohd Salleh (G),245 Geylang Road,Singapore 389304,6846 0857
Haji Muhammad Salleh (P),37 Palmer Road,Singapore 079424,6220 9257
Haji Yusoff,2 Hillside Drive,Singapore 548920,6284 5459
Hajjah Fatimah,4001 Beach Road,Singapore 199584,6297 2774
Hajjah Rahimabi,76 Kim Keat Road,Singapore 328835,6255 8262
Hang Jebat,100 Jalan Hang Jebat,Singapore 139533,6471 0728
Hasanah,492 Teban Gardens,Singapore 608878,6561 7990
Hussein Sulaiman,394 Pasir Panjang Road,Singapore 118730,
Jamae Chulia,218 South Bridge Road,Singapore 058767,6221 4165
Jamek Queenstown,946 Margaret Drive,Singapore 149309,6928 0442
Jamiyah Ar-Rabitah,601 Tiong Bahru Road,Singapore 158787,6273 3848
Kampong Delta,10 Delta Avenue,Singapore 169831,6272 1750
Kampung Siglap,451 Marine Parade Road,Singapore 449283,6243 7060
Kassim,450 Changi Road,Singapore 419877,6440 9434
Khadijah,583 Geylang Road,Singapore 389522,6747 5607
Khalid,130 Joo Chiat Road,Singapore 427727,6345 2884
Maarof,20 Jurong West Street 26,Singapore 648125,6515 5033
Malabar,471 Victoria Street,Singapore 198370,6294 3862
Moulana Mohd Ali,80 Raffles Place #B1-01 UOB Plaza,Singapore 048624,6536 5238
Muhajirin,275 Braddell Road,Singapore 579704,6256 1166
Mujahidin,590 Stirling Road,Singapore 148952,6473 7400
Mydin,67 Jalan Lapang,Singapore 419007,6243 2129
Omar Kg Melaka,10 Keng Cheow Street,Singapore 059607,6532 6764
Omar Salmah,441-B Jalan Mashor,Singapore 299173,6250 0120
Petempatan Melayu Sembawang,27-B Jalan Mempurong,Singapore 759055,6257 7614
Pulau Bukom,Pulau Bukom PO Box 1908,Singapore 903808,
Pusara Aman,11 Lim Chu Kang Road,Singapore 719452,6792 9378
Sallim Mattar,1 Mattar Road,Singapore 387713,6749 2382
Sultan,3 Muscat Street,Singapore 198833,6293 4405
Tasek Utara,46 Bristol Road,Singapore 219852,6293 8351
Tentera Di Raja,81 Clementi Road,Singapore 129797,6776 5612
Wak Tanjong,25 Paya Lebar Road,Singapore 409004,6747 2743
Yusof Ishak,10 Woodlands Drive 17,Singapore 737740,6893 0093
